Year,Model,Total Price,Price_Tier,Location,Average_Price_SGD,Category,Variant,Without COE Price,With COE Price,Average_Price_GBP
2023,"--- Page 1 ---
PRICE LIST

--- Page 2 ---
Aygo X",15990.0,Low,UK,,,,,,
2023,2022 Yaris,22125.0,Low,UK,,,,,,
2023,2023 Corolla,30225.0,Mid,UK,,,,,,
2023,GR Yaris,32205.0,Mid,UK,,,,,,
2023,2022 GR Supra,50545.0,High,UK,,,,,,
2023,2023 Yaris Cross,24855.0,Low,UK,,,,,,
2023,2022 Toyota C-HR,34515.0,Mid,UK,,,,,,
2023,2022 Toyota bZ4X,45710.0,High,UK,,,,,,
2023,2023 Toyota bZ4X,46110.0,High,UK,,,,,,
2023,Land Cruiser,47880.0,High,UK,,,,,,
2023,2023 Proace Verso,43040.0,High,UK,,,,,,
2023,"Land Cruiser 
Commercial",36216.67,Mid,UK,,,,,,
2023,2023 Corolla LCV,24533.33,Low,UK,,,,,,
2023,2023 Hilux,28757.5,Mid,UK,,,,,,
2023,"2023 Proace City 
Electric",30492.5,Mid,UK,,,,,,
2023,2023 Proace City,22104.17,Low,UK,,,,,,
2023,2023 Proace,29462.5,Mid,UK,,,,,,
2023,2023 Proace Electric,39038.33,Mid,UK,,,,,,
2023,2023 Highlander,57980.0,High,UK,,,,,,
2024,,15890.0,Low,UK,,,,,,
2024,,16970.0,Low,UK,,,,,,
2024,,16930.0,Low,UK,,,,,,
2024,,18010.0,Low,UK,,,,,,
2024,,18810.0,Low,UK,,,,,,
2024,,19890.0,Low,UK,,,,,,
2024,,22420.0,Low,UK,,,,,,
2024,,23325.0,Low,UK,,,,,,
2024,,26490.0,Mid,UK,,,,,,
2024,,28575.0,Mid,UK,,,,,,
2024,,28715.0,Mid,UK,,,,,,
2024,,25290.0,Mid,UK,,,,,,
2024,,26890.0,Mid,UK,,,,,,
2024,,30300.0,Mid,UK,,,,,,
2024,,32660.0,Mid,UK,,,,,,
2024,,31080.0,Mid,UK,,,,,,
2024,,32260.0,Mid,UK,,,,,,
2024,,34620.0,Mid,UK,,,,,,
2024,,30285.0,Mid,UK,,,,,,
2024,,31600.0,Mid,UK,,,,,,
2024,,32030.0,Mid,UK,,,,,,
2024,,33365.0,Mid,UK,,,,,,
2024,,31900.0,Mid,UK,,,,,,
2024,,33235.0,Mid,UK,,,,,,
2024,,33645.0,Mid,UK,,,,,,
2024,,34980.0,Mid,UK,,,,,,
2024,,33165.0,Mid,UK,,,,,,
2024,,34880.0,Mid,UK,,,,,,
2024,,34910.0,Mid,UK,,,,,,
2024,,36625.0,Mid,UK,,,,,,
2024,,34000.0,Mid,UK,,,,,,
2024,,35715.0,Mid,UK,,,,,,
2024,,35745.0,Mid,UK,,,,,,
2024,,37460.0,Mid,UK,,,,,,
2024,,31060.0,Mid,UK,,,,,,
2024,,34455.0,Mid,UK,,,,,,
2024,,37920.0,Mid,UK,,,,,,
2024,,40415.0,High,UK,,,,,,
2024,,42490.0,High,UK,,,,,,
2024,,39090.0,Mid,UK,,,,,,
2024,,42555.0,High,UK,,,,,,
2024,,43485.0,High,UK,,,,,,
2024,,37260.0,Mid,UK,,,,,,
2024,,39900.0,Mid,UK,,,,,,
2024,,42805.0,High,UK,,,,,,
2024,,45155.0,High,UK,,,,,,
2024,,47755.0,High,UK,,,,,,
2024,,48755.0,High,UK,,,,,,
2024,,48755.0,High,UK,,,,,,
2024,,51355.0,High,UK,,,,,,
2024,,51355.0,High,UK,,,,,,
2024,,39620.0,Mid,UK,,,,,,
2024,,41955.0,High,UK,,,,,,
2024,,42605.0,High,UK,,,,,,
2024,,44940.0,High,UK,,,,,,
2024,,46500.0,High,UK,,,,,,
2024,,44120.0,High,UK,,,,,,
2024,,48935.0,High,UK,,,,,,
2024,8 VVT-i Auto 140 DIN hp 100 LCV,23570.0,Low,UK,,,,,,
2024,,28284.0,Mid,UK,,,,,,
2024,,45605.0,High,UK,,,,,,
2024,,46950.0,High,UK,,,,,,
