Year,Model,Total Price
2023,"--- Page 1 ---
PRICE LIST

--- Page 2 ---
Aygo X",15990.0
2023,2022 Yaris,22125.0
2023,2023 Corolla,30225.0
2023,GR Yaris,32205.0
2023,2022 GR Supra,50545.0
2023,2023 Yaris Cross,24855.0
2023,2022 Toyota C-HR,34515.0
2023,2022 Toyota bZ4X,45710.0
2023,2023 Toyota bZ4X,46110.0
2023,Land Cruiser,47880.0
2023,2023 Proace Verso,43040.0
2023,"Land Cruiser 
Commercial",36216.67
2023,2023 Corolla LCV,24533.33
2023,2023 Hilux,28757.5
2023,"2023 Proace City 
Electric",30492.5
2023,2023 Proace City,22104.17
2023,2023 Proace,29462.5
2023,2023 Proace Electric,39038.33
2023,2023 Highlander,57980.0
2024,195 26,2527.33
2024,,15890.0
2024,220 27,2707.33
2024,,16970.0
2024,195 27,2700.67
2024,,16930.0
2024,220 27,2880.67
2024,,18010.0
2024,195 27,3014.0
2024,,18810.0
2024,220 27,3194.0
2024,,19890.0
2024,"2

--- Page 3 ---
For full specifi  cation details on Aygo X go to www",49.17
2024,"Premium Sound System with 5 Speakers including an 300-Watt amplifi  er 
and 1 x subwoofer",82.5
2024,"00 
Canvas Roof",149.17
2024,"00 
Metallic Paint",98.33
2024,"00 
Chilli Red Bi-tone",151.67
2024,"00 
Chilli Red Bi-tone",53.33
2024,"00 
CUSTOMISATION
Standard equipment and factory options  Pure Edge Exclusive Exc VAT VAT Inc VAT
Essential Protection Pack",30.0
2024,17,160.0
2024,18,190.0
2024,18,190.0
2024,"00 
Polycarbonate Scuff   Plates",19.17
2024,"00 
Style Pack - Tokyo Red 
Style Pack - ChromeFront bumper garnish",70.83
2024,165 23,3615.67
2024,,22420.0
2024,165 23,3766.5
2024,,23325.0
2024,165 24,4294.0
2024,,26490.0
2024,165 25,4641.5
2024,,28575.0
2024,165 24,4664.83
2024,,28715.0
2024,"00  Yaris
OPTION PRICES
Factory optionsIcon Design ExcelGR 
SPORT Premiere 
Edition Exc VAT VAT Inc VAT
Safety Pack",100.0
2024,"00 
Toyota Skyview",55.0
2024,"00 
Metallic Paint",106.67
2024,"00 
Premium Paint",153.33
2024,"00 
Premium Paint",50.83
2024,"00 
Bi-tone - Metallic Paint",50.0
2024,"00 
Bi-tone - Premium Paint",100.83
2024,"00 
Bi-tone - Premium Paint",50.83
2024,"4

--- Page 5 ---
For full specifi  cation details on Yaris go to www",40.83
2024,"00 
 Protection",44.17
2024,"00 
Chrome Pack",40.83
2024,"00 
Chrome",65.83
2024,"00 
GR SPORT Carbon Pack",70.83
2024,"00 
16",115.83
2024,"00 
16",115.83
2024,"00 
17",132.5
2024,"00 
17",132.5
2024,"00 
Nextbase front-facing dash camera",49.17
2024,"00 
Nextbase front-and rear-facing dash camera",62.5
2024,185 25,4094.0
2024,,25290.0
2024,185 25,4360.67
2024,,26890.0
2024,210 27,4929.0
2024,,30300.0
2024,210 28,5322.33
2024,,32660.0
2024,185 26,5059.0
2024,,31080.0
2024,185 26,5255.67
2024,,32260.0
2024,210 28,5649.0
2024,,34620.0
2024,"AWD - All Wheel Drive  FWD - Front Wheel Drive 
6

--- Page 7 ---
For full specifi  cation details on Yaris Cross go to www",55.0
2024,"00 
Safety Pack",100.0
2024,360 Panoramic View Monitor,165.0
2024,"00 
Metallic Paint",113.33
2024,"00 
Premium Paint on Icon",160.83
2024,"00 
Premium Paint on Excel",47.5
2024,"00 
CUSTOMISATION
Factory options  Icon Design Excel GR SPORTPremiere 
Edition Exc VAT VAT Inc VAT
Essential Protection Pack",26.67
2024,"00 
SUV Pack",124.17
2024,"00 
Side Steps",97.5
2024,"00 
Sports Pack",127.5
2024,Horizontal Detachable Towing hitch with 13-Pin,118.33
2024,Horizontal Detachable Towing hitch with 13-Pin,128.33
2024,10-spoke,150.83
2024,10-double-spoke,191.67
2024,165 25,4926.5
2024,,30285.0
2024,185 25,5145.67
2024,,31600.0
2024,165 24,5217.33
2024,,32030.0
2024,165 25,5439.83
2024,,33365.0
2024,185 25,5195.67
2024,,31900.0
2024,185 26,5418.17
2024,,33235.0
2024,185 25,5486.5
2024,,33645.0
2024,185 25,5709.0
2024,,34980.0
2024,185 26,5406.5
2024,,33165.0
2024,185 26,5692.33
2024,,34880.0
2024,185 25,5697.33
2024,,34910.0
2024,185 26,5983.17
2024,,36625.0
2024,185 26,5545.67
2024,,34000.0
2024,185 26,5831.5
2024,,35715.0
2024,185 25,5836.5
2024,,35745.0
2024,185 26,6122.33
2024,,37460.0
2024,"8

--- Page 9 ---
For full specifi  cation details on Corolla go to www",160.0
2024,"00 
Metallic paint",109.17
2024,"00 
Premium paint",158.33
2024,"00 
Bi-tone",50.0
2024,5-door HB Only,159.17
2024,5-door HB Only,208.33
